,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
30,,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.722,,,,
31,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,0.913812,1.91868,0.212735,1.009475,1.678574,2.895093,2.793468,1.110016,0.055013,0.020596,0.546065,0.129,0.003794,0.112194,0.294577,1.379119,5.97054,2.0769539999999997,
32,,,,Hashish (resin),Hashish (resin),11638.0,68672.0,42479.0,65821.53125,84478.2421875,50174.71484375,21288.349609375,40739.640625,14507.4599609375,37767.26953125,9703.013671875,10726.28125,7985.2578125,4269.98583984375,1744.97705078125,1026.85998535156,2055.0,441.588012695313,628.434020996094,626.0,524.0,486.0,1080.0,1198.66,1868.0,1529.0,5146.0,5624.02,12795.088,11422.47,15354.3,18213.42,12296.74,84256.0,54598.87,33550.0,29236.0,30090.0,
33,,,,Heroine and Morphine,Heroin,0.254999995231628,,0.46900001168251,242.188995361328,24.238000869751,123.833000183105,99.0810012817383,78.6279983520508,335.430999755859,57.882999420166,67.6210021972656,86.1289978027344,52.12399932742121,191.95699926838267,87.0450017750263,48.1949996948242,48.2560005187988,51.447000116109834,24.682000368833503,23.627,37.114,38.01154999974184,55.0,26.66,31.2,31.5,58.07,87.96,211.05,159.085,233.87,74.8,96.09032999999263,260.035,613.3530000000001,516.029,816.034,856.027,
34,,,,,Illicit morphine,,,,,,0.00800000037997961,,0.0430000014603138,,,0.652999997138977,0.850000023841858,0.225999996066093,,0.0199999995529652,0.0120000001043081,0.0240000002086163,0.00100000004749745,0.0120000001043081,0.007,,0.000400000005960464,,,,,,,,,,,,0.314,0.012,,0.0400000005960464,,
35,,,,Marijuana (herb),Marijuana (herb),,,,,,,20.4689998626709,6.69999980926514,23.761999130249,622.427001953125,,1452.0,330.0,599.0,1268.0,2623.0,6624.0,10185.5380859375,31078.38671875,22588.505,30397.0,50376.0,59282.8,84818.6,80249.0,78084.0,100850.0,47538.0,81429.025,62918.33,106994.0,73132.74,77120.51,212063.0,395919.6,360040.0,200849.0,242714.0,
36,,,,Opium,Opium,3185.0,365.0,890.0,254.36399245262183,291.743988037109,287.5409943847921,54.1100006103516,211.246002197266,3862.376953125,89.91699963808064,63.08100128173831,50.181999117135966,48.83500134199854,95.3359984755516,50.0500010848045,17.97799932956691,16.28899936005477,31.16500013694167,25.923999099060847,24.7030000000475,75.00499999988824,40.0,33.0,44.51,114.0,44.5,33.01,49.0,52.06,57.068,50.32,10.774200000166893,49.26390000015497,83.0,99.36,159.0,167.054,129.029,
37,,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0199999995529652,,,,,,
38,,,,,Cannabis oil,,,,,3.45000004768372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,13.0,,
39,,,,,Cannabis plants,8148.7,6382.9,4540.5,2101.4,471.0,12199.4,8160.3,6238.9,615.0,3502.5,24283.5,38109.9,77000.4,167237.3,826411.5,5115327.2,23148272.0,6354282.0,3515038.4,,,47.0,407.0,471.0,409.0,380.0,352.0,27.3,,,,,,1043.3,0.0,1056.8,64.0,0.0,
