,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1025,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.0,331.49,
1026,,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.008100499999998737,0.12000000000000001,0.001
1027,,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047969998927786896,0.04752999893762167,0.0555599987581372,0.0393899991195649,0.0252899994347245,0.000779999988824129,0.08619999997094274,0.003809999914839864,0.04438014900802971
1028,,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,66.76334980866127,84.31262975666483,,67.7133212672397,237.28039656644688,,,,,1.0269999998435377,,,,
1029,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.095,4.547000000000001,5.602,43.760999999999996,153.509799
1030,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7665998861670476,24.3700004577637,3.9057799626100094,316.7996500544377,429.1976525557043,341.98995012774856,61.22998005929991,40.465100104649366,22.72433058686382,72.38991084897165,157.20410013779252,72.08605763841808
1031,,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.002819999936968,0.16478374944604007
1032,,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0136000000089407,0.004950000064075,0.012600000169873199,0.036290000013411046,0.0327,0.199200002968311,0.0616000009179115
1033,,,,,Plant-based NPS,,,,,,,,,,,,,1348.5,,,,,2492.90893554688,6501.90540234375,5689.9401,7978.2,11983.991,14425.237,25266.082,13514.851,17411.476,13917.643,28272.3834,22710.032,19700.2915,19068.6,10420.8115,12449.0245,10113.904,5339.2505,3579.00025,4640.2,417.735,0.0317
1034,,,,,Poppy plants,,,,,,,,18.1,,,,,,,,0.479999989271164,4.75699996948242,1.8,2.01600003242493,1500.0,,,,,,,,,,,6600.0,9.3,,7.3,,,85.9,,
1035,,,,,Poppy seed,,,,,,,,,,,,,,,,0.00400000018998981,0.0450000017881393,0.0140000004321337,,0.0003,0.018,,,,,,,,,,,,,,,,,,
1036,,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.01,
1037,,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2582,2.3597,0.749,0.03
1038,,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00125,,,,
1039,,,Mexico,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,567.8054000000001,70.47,19.746,1.8,20.5311,0.3285,45.2562,0.133,27.073,251.009,1.35,1.6605,0.1475,0.38825,2.17475,0.0002541,300.640661,1.10908,1.298,3.311
1040,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,358.4258,644.45,398.198,457.2557,727.3364,952.733,898.5587,752.917,920.086,341.059,6077.08,12934.74,30830.0,43986.18,17922.628556800002,19705.9387354,23555.038888709998,34766.9534443,23374.482038759998,33865.2855141801
1041,,,,,Non-specified ATS,2623.896,30.581,0.47175,0.189,6.65825,18.51125,23.75,,15.29125,,12.94425,,,266.899993896484,290.2381,499.7879,180.723,38.8907,98.3912,,,,,,,,0.037,,,,,,,,,,,,
1042,,,,Cocaine,"Cocaine (base, paste and salts)",29.0,46.0,399.0,324.0,458.0,2562.69995117188,5323.39990234375,9296.400390625,15363.0,39523.078125,49879.51953125,50268.77734375,38831.67578125,45834.6015625,22116.509,22707.675,23833.204,34952.7138,22597.072265625,34622.6019,23195.942,29988.527,12639.0092,21105.8095,26843.6021,30226.9052,21336.646,48168.031,19333.043,21631.87,,,,,,,,,
1043,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9892.916,11320.0,3410.0,6073.53471300001,2817.42780712001,8099.74253592002,12970.1930766,11997.5380565,16489.8289229
1044,,,,,Crack,,,,,,,,,,,,,,,,,,,,,,0.157,0.3378,1.4284,0.5937,0.495,0.03,0.018,0.013,0.019,0.105,0.688,0.87,0.0002544,2.215476,,,,
1045,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,30.5,,51.2000007629395,,,129.0,,,,611.38,93.0,,32.302,102.0,31.9531,16.3,,7.306,26.356,0.033,0.061,1.12,2.005,0.243,0.007,0.22025,0.5649425003999999,0.6185,1.950393,1.479604,0.3509
1046,,,,Hashish (resin),Hashish (resin),,,,,,0.5,23.1000003814697,,0.5,22.7269992828369,,,,,42.885,13477.19140625,8.79500007629395,115.1554,1.7426,0.3294,0.005,29.507,0.035,1.076,0.2743,89.38,102.179,6.05000019073486,279.084,11.04,23.07,9.1,1.9334,11.37,3.871,11.63089,4.38,6.9908,2.33161
1047,,,,Heroine and Morphine,Heroin,33.0,25.0,8.0,11.0,25.0,8.80000019073486,46.9000015258789,73.5,70.6999969482422,174.24299621582,212.100006103516,146.376007080078,96.7779998779297,61.7000007629395,297.4646,203.177001953125,363.457000732422,114.903,120.8961,260.191,299.102,269.614,282.6924,288.5756,302.3908,362.314,334.631,298.023,194.055,283.43,373.575,696.63,246.6,385.15,386.6958575,546.0936793,486.6542422,321.06327863,491.81249906
1048,,,,,Illicit morphine,,,0.312000006437302,,10.0,1.89999997615814,0.699999988079071,10.8000001907349,2.59999990463257,4.03000020980835,4.0,,1.0,27.0,,3.002,,2.068,,1.1301,4.48,0.539,0.0017,1409.645,,,0.9,125.0,0.008,1.821,,7.909,48.0,118.15,80.68,80.0,49.82683,5.604400000581146,0.10542
1049,,,,Marijuana (herb),Marijuana (herb),69873.0,156881.0,71174.0,68052.0,8560018.0,173448.5,192806.703125,394542.5,277529.3125,752511.25,594778.5625,254957.4375,404553.03125,494664.8125,529933.276,780169.0602,1015755.5379,1038470.414,1062143.9798,1471959.9579,2050402.078,1839357.121,1633326.2087,2160309.1364,2164160.8371,1781063.572,1892658.072,2176748.003,1657853.057,2104954.37,2313115.188,1798940.0,1311310.0,958500.5,868457.326829419,1242342.45635191,840890.1,400310.32993689,230987.38398006
1050,,,,Opium,Opium,78.0,120.0,65.0,50.0,72.0,56.5999984741211,40.2000007629395,95.0,158.300003051758,560.198974609375,375.399993896484,95.2949981689453,167.255004882813,128.789993286133,149.002,222.914001464844,196.421005249023,342.081,149.64,801.18,469.445,516.369,309.9023,192.0141,463.6666,283.6842,105.533,292.09,174.059,802.88,1195.33,1451.915,1610.0,227.0699,3397.89464,1306.1147543,225.8824953,942.8782282,337.21671085
1051,,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427599990442395,230.0,,,,,,
1052,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01591991023719,0.0247399994470179,12.0664797302932,,,,,
1053,,,,,Cannabis oil,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,35557.8,34727.7,25455.4,21663.0,20308.9,14764.5,12240.8,11638.2,13395.3,10118.4,6514.0,3795.1,4711.1,4653.7,3843.2,3461.6,2892.9
1055,,,,,Cannabis seed,883.0,1226.0,767.0,632.0,11081.0,757.299987792969,718.299987792969,,894.5,6180.830078125,2812.26391601563,2960.93310546875,5131.5361328125,5426.9481,4638.536,7421.8635,5098.8369140625,3968.3809,4948.7438,5847.5451,10353.807,7660.91,10214.446,13775.867,14154.3139,,,10133.7,9987.4,15253.3,20067.836,13457.689049999999,8310.002599999942,2627.9700099999995,2705.3989599999995,3490.7857799999833,3370.3591599998795,1716.024,609.0921
1056,,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,
1057,,,,,Depressants (excluding Methaqualone),,4650.0,5.31200983283855,3.34871992515028,7.58068983055837,7.121189840829,1.90875995733589,,0.494599988944828,1.76463996055722,4.50958989920281,2.06637995381281,0.687399984635413,,,,11.0886297521498,1.17103997382522,14.8399996683002,1.82603995918483,7.34280983587541,8.23725981588289,53.530638803497,87.5993780420013,105.274287646936,110.065907539835,32.9976792624444,25.3070494343434,321.400272816144,90.5434679761957,,,,,,,,,
1058,,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038000000557303404,,,,,
1059,,,,,LSD,,,7.2499998168496e-06,,6.91499982531241e-05,,,,,,,,,,,,,,,,,3.9999998989515e-07,,,,,,,,7.5e-07,2.49999993684469e-07,0.050000549999986106,4.14999989516218e-06,,2.469999993179226e-05,0.006345049999897688,,1.34999996589613e-06,0.0516
1060,,,,,Methaqualone,,,,,,,,,,34.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,,,,,Non-specified,,,,,,,,,,,,,,27.0,0.466849989565089,5.69788987264223,,,14.8407796682827,14.9015196669251,34.183689235935,83.131508141866,53.4306388057321,88.576138020169,,,,,,,,,,,,,,,
1062,,,,,Non-specified hallucinogens,,,41.0,352.0,30.0,455.100006103516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.25893999769911,,,,
1064,,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,8053.6349,5.19472507740743,,,,1.48250002209097,,,,,,,,,,,
1065,,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196850.0,3129.7264,,,,,
1066,,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.824316114724,,,,,,,,
1067,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6325,,362.0238502781324
1068,,,,,Poppy plants,,,,,,,,,,,,,,,,,,,,,,,,,12918.9,13266.8,11649.5,,7262.9,7963.7,9335.2,10101.1,9571.8,10209.4,14812.3,17947.5,16401.0,20187.3,
1069,,,,,Poppy seed,22.0,37.0,14.0,107.0,195.0,133.199996948242,213.899993896484,170.600006103516,166.300003051758,622.64501953125,357.131011962891,438.790008544922,1121.09301757813,1013.5,1369.02,2134.42211914063,1155.15197753906,587.282,702.551,749.9848,1036.274,,,1630.5,2028.658,,,1229.6,1022.1,2891.1,5901.2,5451.2,3202.8,943.3,2357.8,,,,
1070,,,United States of America,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,130.64675,43.316,91.0155,63.22475,11.00725,36.0,11.059,155.0065,142.5885,,572.908,1979.5539999999999,12355.759,4306.666128356934,2750.2755,4312.5365,5147.059499999999,388.291
1071,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,2641.0,,94689.478879,14381.365033999999,10571.635859,24061.296986999998,7668.601461,7408.140177,5419.01275,11683.377250000001,13042.262,14604.0795,24589.14525,34252.47375,29894.46825,37612.97675,41199.957,51612.2815,61940.486,82400.93299999999
1072,,,,,Non-specified ATS,4630.346,11868.895,1120.601,2836.44575,4130.79825,335.37025,8097.679,6488.046,27366.362,44055.86,11381.95,6533.274,321.35400390625,575.359985351563,997.98,997.900024414063,1475.63644042969,2450.6114749755834,2143.081038085943,5.05425,2688.8390068359377,0.16725,0.45707501220703,,55.52125,157.39,1376.85225,162.7025,14.04525,,,,,,,,,,
1073,,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.896983923645,,96.223,55.93175,,0.7010000000000001,1.46225,0.0675,
1074,,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,482.21630000144245,,,616.12
1075,,,,,"Cocaine (base, paste and salts)",3470.88891601563,1975.0,5666.64794921875,8901.7314453125,11495.0986328125,25776.013671875,45000.0,56400.0,102375.0,130135.3515625,84831.0,120343.0,119770.0,110962.5,129543.0,110842.203125,128725.1015625,102000.0,117000.0,132318.0,101214.91858633606,,,,,,,,,,,,,,,,,,
1076,,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.6518000001758,279.0,394.65640000098944,,,957.198
1077,,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,117734.102459,104426.484978,119786.879213,164405.453613,196320.773604,177979.458872,152210.0,133520.0,120940.0,87030.0,111130.0,124970.0,86570.0,85600.0,184080.0,200720.0,223700.0,252736.55299999999
1078,,,,Ecstasy,Ecstasy-type substances,,,,,,,458.1145,1075.37875,3920.855,3135.03025,1049.0460001163483,211.1745,22.5060005187988,,376.06275,43.3340015258789,96.80849658203131,142.5394997558594,,1346.7891249999998,2400.0,2730.81475,2185.7752499999997,972.69325,343.93725,1830.04675,2166.09,5232.26375,4075.138,4771.45875,3337.61075,1641.1390000000001,831.403,1539.969,794.5985000000001,4671.1767500000005,1043.73975,838.4125,1927.10675
1079,,,,Hashish (resin),Hashish (resin),2816.0,13682.0,1400.0,14215.3271484375,933.094970703125,570.015991210938,218.339996337891,2369.001953125,36934.30859375,71.2419967651367,73.0,81973.0,1141.0,11399.900390625,783.0,14636.7998046875,38205.0,1072.59997558594,,761.0,945.137,68.0,616.0,38.0,55.0,350.0,1071.0,362.0,367.0,811.0,846.4435148703,272.43,1899.1226227905274,2453.014625004157,468.55,669.2800400005578,4645.305830002993,1204.8672300005258,1661.3242350539715
1080,,,,Heroine and Morphine,Heroin,229.970993041992,151.0,275.985992431641,300.372009277344,385.042999267578,419.096984863281,410.399993896484,501.006011962891,740.030029296875,959.208984375,565.0,1376.0,1241.0,1423.40002441406,1293.59997558594,1337.09997558594,1366.30004882813,1542.0,1580.69995117188,1200.0131010000734,1707.0557900234444,2601.066766,2783.499803,2484.334051,1892.926215,1888.801932,2036.537558,1856.0,2107.0,2555.0,3253.0,4000.0,4991.0,4803.0,7367.0,9485.0,7173.0,8094.0,8957.775009996938
1081,,,,,Illicit morphine,,,0.0329999998211861,,,9.01700019836426,,,,10.1451001511738,2.7039999961853,,1.40699994564056,4.73699998855591,39.2039985656738,0.120999999344349,0.1292000009566546,0.062000000886619056,,3.2338000014871358,195.8443995729536,0.0811799999889731,0.0652000009715557,1.68700002513826,1.0,13.165900002472103,2.322000004798174,7.176700002633035,57.28070000030845,,23.2375186978149,2.8450000036507843,24.11290000168234,49.95750000741333,63.798100011892615,186.29040004962684,11.795200050294401,30.150600008949638,5.312400005400181
1082,,,,Marijuana (herb),Marijuana (herb),2969685.0,877810.0,1276787.0,814608.9375,1319700.0,854050.75,662852.25,622690.0,524946.875,335945.375,171738.0,139672.0,345930.0,382849.5,474971.8125,627945.6875,638661.3125,684745.375,799000.875,1175373.0,218256.453,1436411.713752,1401156.216936,1648356.346751,1353005.619821,1398123.635341,1393656.58703,1834665.0,1681090.0,2321438.0,2290445.0,2179259.0,1968474.0,1779774.0,1258113.0,1183329.0,978271.0,661286.0,483165.34346273803
1083,,,,Opium,Opium,20.0,69.0,120.0,16.146999891847397,8.01299953460693,17.0900001525879,11.1499996185303,43.0349998474121,15.3299999237061,9.42000007629395,41.0,232.0,593.0,1550.80004882813,,42.076000213623,61.9249992370605,39.0099983215332,,68.97,,1051.0537000021338,1052.0488000416756,22996.13110000521,186.0,6733.0,273.0,1538.0,332.0,907.0051000002027,1883.89916128143,2349.189600005984,3394.78490001744,38351.65420000017,6429.216600008607,2157.2275000694394,1775.7993000718952,528.1047000649571,308.0772000670433
1084,,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.816969994703307,2470.329759996429,0.665089996533468,41.006689999850465,1.648279996909201,0.8081699982527643,3.4549299989957363,15.429419999789447
1085,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.1633297951836,67.96244989623315,1.55693997659907,4833.849599936307,84.8785899407994,381.24547985257954,373.2349998568371,70.25812999847717
1086,,,,,Cannabis oil,0.893999993801117,,29.4710006713867,0.470999985933304,,,,,,323.760009765625,50.0,57.0,,,525.216003417969,779.528015136719,248.289001464844,,,490.685,66.152,59.7,,,,,,0.5,676.86,,0.734819057006836,364.062,1422.45280000031,375.97,6.355,463.82500000000005,179.73399999999998,2369.4370000000004,2012.3559999999998
1087,,,,,Cannabis plants,,,,,,,,,,1367.98999023438,388.0,15.0,,,15961.802734375,24562.62890625,676866.375,,,497.366,163.344,4561.9,,,20682.9,27.2,28710.8,126159.5,215753.9,,,151384.6,80108.7,83452.8,54933.4,247451.6,97976.5,111610.1,91703.4
1088,,,,,Cannabis seed,,,,,,,,,,0.930000007152557,,,,,,,229291.75,,,412271.5915049999,417120.25901999994,,,,,,,,,,,,,,,,,,
1089,,,,,Coca leaf,,,,,,,,,0.330000013113022,,0.18299999833107,0.14300000667572,0.0260000005364418,,0.0350000001490116,,,,,58.436,47.788999994277944,0.6,,,,,,,,,,1419.57,94.506,68.51,278.185,151.65,331.37,123.06,258.32
1090,,,,,Depressants (excluding Methaqualone),100.389247756125,217.016015149314,57.394228717139,25.3503994333744,14.7311396707334,12.824189713357,2.27668994911201,0.274969993853942,5.03483988746256,3.42397992346808,1.20874997298233,3.90816991264559,13.7659997940063,,254.27769431645,3.0743099351953713,4.7561198972314624,7.989849825697019,,6.68324178476061,0.5623799989707768,,,,,,,,,,,,,,,,,,
1091,,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,169.0,146.0,941.0,245.0,942.0,183.0,2723.0,2338.0,14063.0,,,,,,,,,
1092,,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3159394256592,795.843,425.398,707.385,755.678,1689.5312000001668,1646.616300000392,1536.171,
1093,,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3042173257446,,,,,,,,
1094,,,,,LSD,,1.80321635444692,,0.147552946272499,0.0149763496216656,0.730433931547686,0.190203745195049,0.183122245373943,0.0504101487265325,0.0365569990764925,0.00387209990218253,0.00602384984782475,0.145999997854233,,0.00826159979129443,0.00899999961256981,0.10271979936958815,1.9439536773182593,,0.3382751997909509,1.3014229537787532,0.0048528498774067,8.12099955070567e-05,8.22999979209271e-05,0.003036199999085511,0.9550557499985916,2.27499994252867e-05,3.28999991688761e-05,0.000874249977914587,,0.961615062255859,2873.0019298499515,475.8476525999583,4.355543599859956,0.00160574995943534,21.05143459996376,41.20198089994996,7.5119134499516615,52.21420039989389
1095,,,,,Methaqualone,,,,,,14.76525,176.63275,89.97675,17.35125,17.547,1.41575,25.29125,45.3650016784668,,68.43875,3.243,20.14625,0.3325,,8.0075,0.020999999999999998,0.02675,10.18275,0.034,,,,,0.25,,,0.625,2.102,5.17525,8.075,7.922,11.901,2.04,
1096,,,,,Non-specified,2.02745995468274,5.0499998871237,,,0.0321799992807209,,,1.00472997754253,,0.2649699953813102,1.27727997145057,,0.725000023841858,,0.808759981922805,0.0435200003311038,767.1664355844524,,,3.273371006899528,4.853599896855657,,,,,,,,,,,,,,,,,,
1097,,,,,Non-specified hallucinogens,777.923111591957,,197.861702948369,340.705605076909,2.75690004108101,108.082401610553,,,,,,,,,,,,,,,,,,3.071400001063943,111.1704001515508,164.0142000300139,43.0,36.0,109.0,65.3083002728149,,,,,,,,,493.8279000098035
1098,,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,265.7,,,,,,,,,,,,,,,,
1099,,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79900347106934,690.124,1009.135,714.242,566.0062000000923,5012.936831896481,279.22180000151695,2502.372000000477,624.8679999999999
1100,,,,,Other illicit opioids,,,,0.0806250012014061,,,,,,1.52180002267659,2.24940003351867,,0.679000020027161,,,0.5577750041391705,7.9138750154059405,,,0.233450003478676,,6.36742502037622,44.81140002699196,16.02077501521073,18.14712506179698,17.216725003229453,40.8632752214801,69.5985001430288,45.70037507004105,29.78987511607818,,,,,,,,,
1101,,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,231.35,,
1102,,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.10723984114081,9.97772999647446,9.926269981754944,27.997449992457405,2.125279996305704
1103,,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,1.56485996502265,39.8823798908703,48.82089989224449,,,,,,,,,,,,
1104,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0984500686645,,,1203.16,,,1039.78,682.14,
1105,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7279736434937,34.37885015078257,29.65785013440624,102.83865089032427,45.75675010068342,682.5926001952589,2054.8743502212874,3192.7006502911936,3095.3671002565843
1106,,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3082099999953061,,,,
1107,,,,,Plant-based NPS,,,,,,,,,,,,,1090.0,4215.1728515625,,,,27.9379997253418,,44.62,187.985,37572.0,48809.0,58317.0,17188.0,46784.0,44193.0,38739.0,55093.0,98803.0,90036.662379671,48370.02,62735.659,107043.67,45203.0,54094.09,53248.5,93389.178,18266.84
1108,,,,,Poppy plants,,,,,,,,,,,,,,,37.5550003051758,,,50.7940013706684,,,,,,,,,,,,,,,,,,,,,
1109,,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.0,1030.26,494.08,718.22,382.17
1110,,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,4504.0,9401.0,10061.0,691.0,7896.0,49323.0,1918.0,1930.0,1544.0,,,,,,,,,
1111,,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3390.53,43770.832,23026.96,26498.389,16986.5165,4811.5342200000005,27238.8605,2326.121
1112,,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,156.33583999986948,13.995239999435842,106.47031999999285,
1113,,South America,Argentina,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,1.02575,,0.99775,0.1075,,3.66975,0.2845,0.44475,5.73425,9.52325,0.02025,0.00025,0.125,9.61475,5.3565,27.85475,7.1285,0.36125,32.89675,0.5775
1114,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,0.0915,,0.0005,20.2185,0.008,0.02225,8.779000000000002,17.0205,18.69,21.2485,0.12375,51.084500000000006,25.6135,2.63645
1115,,,,,Non-specified ATS,,,,,1.10550002670288,11.71875009727478,0.0729999989271164,,0.0439999997615814,4.458249999776482,0.156000003218651,0.689999997615814,,0.00600000005215406,0.30375,3.436,0.12,0.126,0.15,,2.5335,,,0.018,,,,,,,,,,,,,,,0.3494
1116,,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44625,0.108
1117,,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.167,237.88,,11529.560703201592,42.6405016943812,75.7590030103922,108.918104322851,105.7781038269401,12001.206903090142
1118,,,,,"Cocaine (base, paste and salts)",44.693000793457,26.8819999694824,19.4139995574951,73.588996887207,141.779006958008,160.055999755859,360.121002197266,612.708984375,1098.64196777344,462.295989990234,1009.47802734375,1275.68005371094,1210.05004882813,2041.9599609375,2236.412109375,3416.080078125,2451.25,5192.56982421875,1766.90002441406,1660.776,2351.359,2286.858,1638.281,1992.708,3114.773,5502.568,6502.122,7533.087,12112.268,12643.256,237.9,,10461.92,,,,,,
1119,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7237.006,4162.49,,,,6972.389999999999,8445.8,15790.26,
1120,,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,0.095,0.14,0.267,,,,,,0.02,3.1,,0.072
1121,,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13179.99,,,,
1122,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,0.538477,,,,,0.07046,,,,,,,,,3.917576,14.166525,0.96747,6.272325,18.362605000000002,3.015512,37.015049999999995,25.547441,4.867702,25.493079,15.61502,179.103331,22.865239,70.46580499999999,136.738364,25.008098
1123,,,,Hashish (resin),Hashish (resin),,0.165999993681908,0.223000004887581,0.00499999988824129,0.439000010490417,0.425000011920929,0.270999997854233,0.0769999995827675,,0.0719999969005585,1.5789999961853,2.07999992370605,0.790000021457672,100.300003051758,0.209999993443489,,6.71999979019165,0.0599999986588955,1.87999999523163,6.461,9.114,1.219,1.891,12.643,1.403,24.49,2.275,0.257,40.343,20.181,0.109,,34.84,105.03,4.09,0.43,0.31,1.9500000000000002,0.029
1124,,,,Heroine and Morphine,Heroin,0.0020000000949949,0.00100000004749745,,,,,,0.00499999988824129,0.0020000000949949,0.100000001490116,,,,0.689999997615814,,,,38.5800018310547,31.0400009155273,7.962,47.664,84.683,32.296,175.784,16.095,31.004,32.512,0.44,14.738,0.002,6.138,,1.8903899999912828,,,0.01,,8.84,0.005
1125,,,,,Illicit morphine,0.538999974727631,0.0729999989271164,6.24900007247925,8.29599952697754,0.0790000036358833,0.03170000047236678,39.7760009765625,0.0087000001296401,,0.00800000011920929,0.02880000039190056,,0.140000000596046,,,,,,,,,,,,,,,,0.088,,0.000100000001490116,,,,,,,0.28,0.00220000003278255
1126,,,,Marijuana (herb),Marijuana (herb),430.0,155.0,290.0,470.652008056641,745.690979003906,27.1900005340576,1912.38403320313,2125.98608398438,2610.63989257813,1244.85400390625,658.064025878906,1351.0,3769.75,2547.30004882813,2596.92797851563,5149.6201171875,8893.1904296875,13709.6201171875,10920.23046875,18301.339,25538.966,33052.239,44823.951,58340.491,54785.925,36482.143,87525.577,89939.989,107530.42349999999,91869.391,36293.574,28680.16,129057.77,127510.0,140645.371,206755.0825,160632.54200000002,175027.861,256411.455099
1127,,,,Opium,Opium,0.421999990940094,0.248999997973442,31.0,0.300000011920929,0.0399999991059303,0.0489999987185001,95.3150024414063,0.577000021934509,,0.0280000008642673,0.0819000032544136,,,,,,,,,,,,,,,,,,,,,0.08,0.0093000003695488,,,,,0.12,
1128,,,,Other drugs,Any Illicit drugs,,,,31.8150005340576,,,,0.453999996185303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0159799996428192,,0.0649999985471368,0.00164999996311963,
1130,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7713499990757555,0.9480599987022579,0.161109996398911,0.0645399986177683,0.0475999989360571
1131,,,,,Cannabis oil,,,,,,,,,,,,,1.87000000476837,0.980000019073486,,,,,,,,,,,0.05,,,,,,,116.0,,,,,0.6,64.178,256.903225
1132,,,,,Cannabis plants,18.5,35.1,23.3,316.538012695313,129.2,0.907999992370605,300.9,70.7,206.2,185.0,87.8,106.3,105.6,326.8,34.2,,215.2,45.8,129.6,122.7,67.6,168.7,93.9,1424.4,407.3,249.7,204.5,203.6,232.9,381.6,448.5,560.5,666.3,638.1,1130.5,1247.48,7277.6,2301.91328,1715.8392
